index;question;document;old_topic;new_topic;similarity;reassigned;stage
80;Anak bertengkar dengan sahabat. Haruskah campur tangan?;anak tengkar sahabat campur tangan beri ruang teknik komunikasi intervensi perlu mediator netral;-1;-1;0.600339;FALSE;rejected
82;Remaja saya bingung soal pergaulan pacaran. Tips menjaga aman?;remaja gaul pacar tips jaga bicara batas fisik emosi dorong aktivitas kelompok akses seks sehat;-1;-1;0.54703474;FALSE;rejected
85;Remaja saya channel energi ke seni. Apakah itu baik?;remaja channel energi seni seni salur emosi eksplorasi identitas edukasi seks siap;-1;-1;0.46849903;FALSE;rejected
86;Cara membantu remaja berpikir lebih rasional?;remaja rasional undang diskus data bukan larang minta riset sumber percaya presentasi proses sintaksis;-1;-1;0.51810956;FALSE;rejected
89;Aku sering merasa tidak layak dicintai. Bagaimana membuka diri pada intimasi?;layak cinta diri intimasi beri diri kualitas positif kecil teman percaya intimasi tumbuh lewat jujur tahap;-1;-1;0.5791004;FALSE;rejected
92;Apa bedanya terapi interpersonal dengan curhat ke teman?;terapi interpersonal curhat teman terap meta pola beri umpan balik profesional tetap empatik teman kerangka objektif;-1;1;0.66708916;TRUE;medium
93;Bagaimana mempersiapkan sesi terapi pertamaku?;siap sesi terapi pertama utama harap contoh situasi sikap cepat terap paham peta;-1;1;0.6526318;TRUE;medium
95;Aku sering menarik diri saat stres. Bagaimana mencoba motivasi konjungtif?;diri stres motivasi konjungtif pesan singkat teman gestur kecil pintu koneksi kurang stres;-1;0;0.68579423;TRUE;medium
97;Kenapa aku merasa beda banget dengan saudara kembaranku?;saudara kembar mirip alam teman tantang hadap identik campur pribadi tetap khas;-1;-1;0.4709244;FALSE;rejected
99;Mana yang lebih kuat membentuk diriku, gen atau lingkungan?;kuat bentuk diri kolaborasi siap alat hasil akhir versi diri unik;-1;-1;0.63151073;FALSE;rejected
100;Usiaku sudah 40‑an, terlambatkah mengubah sifat perfeksionis berlebihan?;usia lambat ubah sifat perfeksionis lambat otak tetap plastis mindful self compassion arah perfeksionisme standar sehat bukan beban;-1;-1;0.56279904;FALSE;rejected
102;Apakah tes kepribadian Big Five akurat menilai diriku?;pribadi five akurat nilai diri five beri cermin awal cenderung bukan label kaku pandu paham pola sesuai strategi kerja;-1;-1;0.6171066;FALSE;rejected
103;Bagaimana cara pikiran memengaruhi cara aku merasa?;pengaruh ibarat kacamata tafsir alam pola realistis positif langsung tenang emosi tuntun tindak sehat;-1;0;0.6653667;TRUE;medium
104;Aku sering merasa ‘gagal’. Bagaimana pendekatan humanistik bisa membantu?;gagal dekat humanistik humanistik diri pribadi nila tumbuh proses bukan sekadar hasil jalan ringan;-1;-1;0.59666836;FALSE;rejected
105;Bagaimana teori‑teori ini relevan untuk karierku?;teori teori relevan karier paham pribadi pilih gaya kerja harmonis kelola stres modal penting raih tuju karier jalan sehat mental;-1;-1;0.5938627;FALSE;rejected
106;Kenapa aku suka impulsif belanja online tengah malam?;impulsif belanja tengah senang cepat tunda klik lama beri ruang nilai barang perlu;-1;-1;0.52254105;FALSE;rejected
108;Aku gampang merasa bersalah meski kesalahan kecil. Apa itu superego overaktif?;gampang salah salah kecil superego overaktif self compassion salah izin diri lanjut superego tetap dominasi;-1;0;0.688997;TRUE;medium
109;Bagaimana menggali isi alam bawah sadarku secara sehat?;gali alam bawah sehat journaling bebas terapi bicara singkap pola sembunyi kelola;-1;-1;0.62754166;FALSE;rejected
111;Apa yang membuatku cepat lelah secara mental?;cepat lelah mental energi habis konflik batin superego mindfulness nali salur energi tuju selaras nilai;-1;0;0.6870527;TRUE;medium
112;Aku takut dipecat (kecemasan realistis) dan juga takut mengecewakan orang tua (moral). Cara menanganinya?;takut pecat cemas realistis takut kecewa moral tangan pisah fakta sempurna rencana kerja nyata risiko kantor yakin diri nilai diri prestasi;-1;-1;0.6385481;FALSE;rejected
115;Aku cenderung menganalisis masalah tanpa pernah menangis. Baik atau buruk?;cenderung analis menang analisis emosi perlu ruang sisih tonton film haru tegang tumpuk;-1;-1;0.6498513;FALSE;rejected
117;Mengapa aku panik jika meja kerja berantakan?;panik meja kerja beranta cermin butuh kontrol tahap anal toleransi kacau kecil longgar tegang perfeksionis;-1;-1;0.6019494;FALSE;rejected
120;Aku remaja merasa canggung bicara soal seks. Apa yang harus kulakukan?;remaja canggung bicara seks laku edukasi percaya diskusi dewasa percaya tahu kurang cemas;-1;4;0.6570951;TRUE;medium
122;Sebagai introvert, apa buruk jika aku butuh banyak waktu sendiri?;introvert butuh sendiri sekali ulang energi aktivitas solo atur interaksi sosial kualitas kunci imbang bukan paksa diri;-1;-1;0.5823761;FALSE;rejected
123;Aku ingin lebih kreatif, tapi takut gagal. Tipsnya?;kreatif takut gagal tipsnya proyek kecil nilai doodle raya proses bukan hasil lama lama berani tumbuh;-1;17;0.6825018;TRUE;medium
124;Aku sulit menolak permintaan teman. Bagaimana belajar assertive?;sulit tolak minta teman assertive singkat maaf ingat kata arti ruang prioritas;-1;-1;0.6494398;FALSE;rejected
125;Bagaimana menyeimbangkan teliti dan santai?;imbang santai standar cukup henti revisi timer kerja istirahat pomodoro jaga lelah;-1;3;0.66143954;TRUE;medium
126;Berapa lama membentuk kebiasaan optimis?;berapa lama bentuk optimis studi tunjuk rata rata afirmasi pagi syukur evaluasi maju bulan;-1;-1;0.57363904;FALSE;rejected
127;Aku ingin lebih disiplin tapi teman kurang mendukung. Apa solusinya?;disiplin teman kurang dukung solusi tuju rupa dukung sosial selaras nilai kuat tekad jalan ubah;-1;-1;0.6112391;FALSE;rejected
129;Aku sering berpikir ‘semua harus sempurna’. Bagaimana mengubahnya?;sempurna ubah tantang cukup maju ulang turun tekan perfeksionis;-1;-1;0.45186248;FALSE;rejected
136;Sebagai ekstrovert, aktivitas self‑care apa yang cocok?;ekstrovert aktivitas self care cocok kelas dance kelompok volunteering interaksi sosial positif energi beri makna;-1;-1;0.5717717;FALSE;rejected
137;Self‑care favorit introvert?;self care favorit introvert baca buku kafe tenang jurnal jalan sendiri alam aktivitas sunyi beri nutrisi mental;-1;-1;0.5707618;FALSE;rejected
142;Apa langkah praktis menuju aktualisasi diri?;praktis tuju aktualisasi diri kenal bakat refleksi feedback tantang diri proyek luar zona nyaman raya progres bukan sempurna;-1;-1;0.6350211;FALSE;rejected
143;Cara sederhana menaikkan self‑efficacy?;sederhana naik self efficacy break target tugas otak terima bukti mampu perlahan percaya diri naik;-1;-1;0.6213952;FALSE;rejected
146;Aku baru saja ditolak seseorang yang aku suka, rasanya sakit banget. Apa yang bisa aku lakukan?;tolak sakit laku tahu berat luka pertama beri diri emosi jangan terlalu lama jebak diri bakat ingat harga negatif lawan fakta positif diri teman laku aktivitas nikmat nonton film favorit kecil perlahan;-1;0;0.81176555;TRUE;high
148;Aku sering merasa nggak cukup baik setelah ditolak. Gimana cara menghentikan pikiran negatif ini?;cukup tolak henti negatif negatif kertas kritik diri lawan kritik fakta temen asyik diri adil sulit laku kuasa masak ingat;-1;0;0.81161165;TRUE;high
149;Setelah ditolak, aku kehilangan rasa percaya diri. Bagaimana cara membangunnya lagi?;tolak hilang percaya diri percaya diri goyah tolak duduk jenak bangga diri mampu dengar kerja susah ingat momen hasil laku aktivitas kompeten olahraga ingat;-1;0;0.74241257;TRUE;medium
152;Aku punya banyak temen, tapi tetap kesepian. Apa yang salah sama aku?;temen tetap sepi salah salah sepi datang pilih temen percaya personal mimpi khawatir diri erat lakuin bareng nonton masak momen dekat;-1;0;0.7170464;TRUE;medium
154;Aku kesepian, tapi susah buka diri ke orang lain. Gimana cara memulainya?;sepi susah diri mula diri gampang sepi kecil ringan film tonton takut ingat gugup kecil temen respons nyaman kuat;-1;0;0.7592658;TRUE;high
155;Aku pengen hubungan yang lebih dekat sama orang lain, tapi selalu gagal. Apa yang harus aku lakukan?;dekat gagal laku erat udah luangin refleksi jauh takut sakit cukup tahu pola lakuin tindak kecil ngajak temen ngopi dengerin penuh perhati erat butuh;-1;0;0.7874757;TRUE;high
161;Setelah kehilangan seseorang, aku nggak tahu lagi siapa diriku. Gimana cara menemukan diriku lagi?;hilang tahu siapa diri diri hilang hilang diri luangin kenal diri nilai diri kreativitas laku bahagia olahraga proses butuh perlahan siapa kuat;-1;25;0.7122829;TRUE;medium
162;Setelah kehilangan, aku sulit terhubung sama orang lain. Gimana cara membuka diri lagi?;hilang sulit diri tutup diri hilang protecting yourself kecil kirim pesan temen nanya kabar perlu berat cukup ringan siap ngopi bareng tanam butuh usaha tumbuh laku perlahan;-1;5;0.6510768;TRUE;medium
164;Kehilangan bikin aku merasa nggak berharga. Gimana cara membangun rasa percaya diri lagi?;hilang harga percaya diri hilang goyah nilai bangga temen laku aktivitas kompeten masak olahraga suportif ngingetin betapa kuat;-1;0;0.6583931;TRUE;medium
165;Aku masih nanya-nanya kenapa aku kehilangan seseorang. Gimana cara menerima kenyataan ini?;nanya nanya hilang terima nyata proses terima renung hilang kuat hidup jurnal dengerin proses cepet makna perlahan terima harap;-1;0;0.7656738;TRUE;high
166;Aku sering mikir ‘andai saja’ soal kehilangan yang aku alami. Gimana cara berhenti mikir gitu?;mikir andai hilang alami henti mikir andai jebak kontrol syukur temen momen kecil senyum muncul lakuin serap perhati nonton film jalan jalan proses butuh perlahan depan;-1;0;0.77945006;TRUE;high
169;Aku merasa bersalah sama seseorang, tapi takut ngomong. Apa yang bisa aku lakukan?;salah takut ngomong laku takut ngomong salah kecil kirim pesan sederhana nanya kabar pelan pelan pulih siap ungkap jujur surat perlu kirim ngeluarin penting usaha koneksi udah;-1;0;0.75120914;TRUE;high
170;Aku takut mencoba lagi setelah ditolak berkali-kali. Gimana cara ngatasin ketakutan ini?;takut tolak ngatasin takut takut beberapa tolak diri berani kecil ekspektasi ingat tolak definisi nilai diri takut alas temen lakuin percaya diri baju favorit denger semangat berani;-1;0;0.7666393;TRUE;high
171;Aku selalu ngerasa gagal setelah ditolak. Gimana caranya berhenti ngerasa gitu?;ngerasa gagal tolak henti ngerasa gagal down kertas negatif muncul gagal lawan fakta hasil kerja teman diri jernih susah temen suportif ngingetin lakuin bangga selesain tugas kecil;-1;0;0.78170216;TRUE;high
174;Aku udah lama merasa kesepian, dan takut ini nggak akan berubah. Apa yang bisa aku coba?;udah lama sepi takut ubah tahu berat sepi udah lama nempel ubah kecil giat senang kelas nyaman tetangga kasir bahkan interaksi kecil ubah sendiri kecil arti;-1;0;0.76320946;TRUE;high
176;Aku pengen gaul, tapi selalu ngerasa takut atau nggak nyaman. Gimana cara ngatasin ini?;gaul ngerasa takut nyaman ngatasin takut nyaman diri ngerem takut hakim tahu kecil senyum sebentar temen nyaman forum musik game kuat pelan pelan;-1;11;0.73119986;TRUE;medium
179;Aku kesepian dan pengen ketemu orang baru, tapi nggak tahu mulai dari mana. Ada ide?;sepi tahu ngurangin sepi giat sukarela acara donasi buku nilai obrol alir alami grup fotografi masak diskusi interaksi kecil bahkan senyum;-1;-1;0.52169603;FALSE;rejected
180;Aku merasa hancur setelah kehilangan seseorang. Gimana cara mulai pulih?;hancur hilang pulih tahu hilang harap kecil nyaman duduk tempat favorit dengar tenang beri diri izin sedih lakuin sederhana makan atur jalan pagi berat dengerin pulih butuh sendiri jalan;-1;2;0.76353663;TRUE;high
183;Aku merasa lemah setelah kehilangan. Gimana cara nemuin kekuatan diriku lagi?;lemah hilang nemuin kuat diri hilang ngerasa rapuh kuat ingat momen bangga selesain kualitas diri sabar kreatif lakuin hidup olahraga proses butuh kecil dekat versi diri;-1;0;0.7781912;TRUE;high
184;Aku pengen nerima kehilangan yang aku alami, tapi susah. Gimana caranya?;nerima hilang alami susah terima hilang emang gampang udah usaha renung hilang tahan jurnal dengerin tanyain diri sendiri lakuin hidup proses perlahan damai;-1;0;0.78503513;TRUE;high
187;Aku panik banget kalau ketinggalan bus, rasanya hari ini bakal berantakan. Gimana caranya biar nggak langsung stres?;panik tinggal beranta langsung stres tinggal jengkel diri sendiri fakta depan fakta tinggal bukan kiamat mikir gagal laku pesan ojek nikmat tunggu dengerin jernih siapin jadwal cadang jaga jaga;-1;0;0.7966024;TRUE;high
189;Aku cemas tiap mau presentasi, takut dikira bodoh. Gimana caranya biar lebih tenang?;cemas presentasi takut bodoh tenang presentasi degan fakta ngomong materi udah siapin takut bodoh bukan nyata hati udah pede tahu kerja kecil rangin cemas siapin slide;-1;0;0.7438927;TRUE;medium
197;Aku marah karena temenku bohong. Rasanya pengen putus hubungan. Gimana caranya biar nggak impulsif?;marah temenku bohong putus impulsif temen bohong sakit hati marah fakta bohong arti takut malu langsung putus jujur mikir momen bareng temenmu inget nilai sahabat kepala dingin pesan;-1;22;0.7309371;TRUE;medium
198;Aku cemburu karena pacarku cerita soal mantannya. Rasanya nggak dihargai. Gimana caranya biar nggak cemburu?;cemburu pacar mantan harga cemburu cemburu lelah pisahin fakta bukan arti sayang mantan mikir anggap santai momen seru sayang cemburu reda rencana kencan kecil;-1;0;0.6525751;TRUE;medium
200;Aku frustrasi karena proyekku gagal. Rasanya pengen nyerah. Gimana caranya biar tetep semangat?;frustrasi proyek gagal nyerah semangat proyek gagal emang down henti jenak fakta proyek jalan udah usaha proses skill tangguh nyerah pilih kecil revisi proyek inspirasi bayangin comeback keren minggu;-1;0;0.65894383;TRUE;medium
201;Aku sedih karena nggak dapet kerja setelah wawancara. Rasanya gagal total. Gimana caranya biar nggak terpuruk?;sedih dapet kerja wawancara gagal total puruk lolos wawancara sedih fakta terima tempat bukan arti gagal lama usaha udah lakuin siap berani mikir peluang apply tingkatin luangin semangat balik potensi kirim lamar;-1;-1;0.59302217;FALSE;rejected
202;Aku kesal karena tetangga ngomongin aku. Rasanya diserang. Gimana biar nggak sakit hati?;kesal tetangga ngomongin serang sakit hati omong tetangga panas pisahin fakta ngomong bukan arti salah mikir serang anggap iseng laku ramah nikmat keluarga bangga diri goyah senyum tetangga siapa tahu malu;-1;-1;0.6388361;FALSE;rejected
204;Aku takut gagal di bisnis baru, rasanya bakal malu. Gimana caranya biar lebih berani?;takut gagal bisnis malu berani bisnis grogi fakta usaha gagal takut malu bukan nyata alas nyoba bisnis passion mimpi kecil riset pasar rencana sederhana bayangin diri proses keren rencana bisnis kecil;-1;0;0.6567331;TRUE;medium
207;Aku kesal karena dosenku bilang tugasku biasa aja. Rasanya gagal. Gimana biar nggak terpuruk?;kesal dosen tugas gagal puruk komentar dosen enak pisahin fakta dosen tugas bukan diri mikir gagal dosen tugas sudut pandang usaha udah lakuin bukti juang kecil bangkit revisi tugas;-1;9;0.65283716;TRUE;medium
208;Aku cemas tiap buka dompet, takut nggak cukup duit. Gimana caranya biar nggak panik?;cemas dompet takut cukup duit panik dompet tipis emang khawatir panik henti fakta saldo batas atur syukur makan catat keluar sederhana pilih kecil rangin kopi tenang catat keluar sore;-1;-1;0.59877396;FALSE;rejected
212;Aku kesal karena atasan bilang presentasiku kurang menarik. Rasanya dihina. Gimana biar nggak baper?;kesal presentasi kurang hina baper komentar nyakitin pisahin fakta presentasi bukan diri mikir hina teknik presentasi udah capai kerja bukti kecil rangin baper slide;-1;-1;0.64076746;FALSE;rejected
214;Aku takut dikira miskin karena pakaianku sederhana. Gimana caranya biar pede sama penampilan?;takut miskin sederhana pede tampil sederhana ragu fakta kain bukan cermin diri bangga senyum nyaman pilih outfit rapi sesuai selera outfit favorit;-1;-1;0.5790324;FALSE;rejected
217;Aku kesal karena temen bilang aku pendiam. Rasanya dihakimi. Gimana biar nggak sakit hati?;kesal temen diam hakim sakit hati komentar temen enak pisahin fakta diam bukan arti salah mikir hakim anggap ngomong nyaman temen bangga obrol seru temen;-1;11;0.78449017;TRUE;high
218;Aku cemas tiap buka tagihan, takut nggak bisa bayar. Gimana caranya biar nggak panik?;cemas tagih takut bayar panik tagih emang jantung cemas henti fakta tagih atur syukur temen prioritas bayar hemat masak tenang catat tagih sore;-1;0;0.733567;TRUE;medium
219;Aku takut dikira nggak pinter karena nilaiku jelek. Gimana caranya biar pede di kelas?;takut pinter nilai jelek pede kelas nilai jelek ragu fakta nilai angka bukan cermin diri bangga usaha lakuin dosen harga topik kecil;-1;0;0.6888163;TRUE;medium
220;Aku marah karena tetangga parkir sembarangan. Rasanya pengen protes. Gimana caranya biar nggak emosi?;marah tetangga parkir sembarang protes emosi parkir sembarang emang kesel marah fakta mobil salah parkir arti sengaja protes santai tetangga solusi tenang syukur kepala dingin ramah tetangga;-1;-1;0.5737442;FALSE;rejected
222;Aku kesal karena temen bilang aku nggak asik. Rasanya diserang. Gimana biar nggak sakit hati?;kesal temen serang sakit hati komentar temen enak pisahin fakta bukan arti mikir serang anggap selera nyaman temen bangga humor temen seru;-1;9;0.66422564;TRUE;medium
223;Aku cemas tiap buka dompet, takut nggak cukup duit. Gimana caranya biar nggak panik?;cemas dompet takut cukup duit panik dompet tipis emang khawatir panik henti fakta saldo batas atur syukur makan catat keluar sederhana pilih hemat masak tenang catat keluar sore;-1;-1;0.6347479;FALSE;rejected
224;Aku takut dikira nggak pinter karena nilaiku jelek. Gimana caranya biar pede di kelas?;takut pinter nilai jelek pede kelas nilai jelek ragu fakta nilai angka bukan cermin diri bangga usaha lakuin dosen harga topik kecil;-1;0;0.6888163;TRUE;medium
225;Aku marah karena tetangga parkir sembarangan. Rasanya pengen protes. Gimana caranya biar nggak emosi?;marah tetangga parkir sembarang protes emosi parkir sembarang emang kesel marah fakta mobil salah parkir arti sengaja protes santai tetangga solusi tenang syukur kepala dingin ramah tetangga;-1;-1;0.5737442;FALSE;rejected
227;Aku kesal karena temen bilang aku nggak asik. Rasanya diserang. Gimana biar nggak sakit hati?;kesal temen serang sakit hati komentar temen enak pisahin fakta bukan arti mikir serang anggap selera nyaman temen bangga humor temen seru;-1;9;0.66422564;TRUE;medium
228;Aku stres karena putus sama pacar, rasanya dunia runtuh. Gimana caranya biar nggak lebay?;stres putus pacar runtuh lebay putus sakit bayangin diri naik balon udara hidup putus kecil panjang syukur temen kecil jalan jalan hidup drama rencana seru akhir pekan;-1;-1;0.6498789;FALSE;rejected
229;Aku sedih karena gagal wawancara, rasanya malu banget. Gimana caranya biar nggak terlalu dipikirin?;sedih gagal wawancara malu terlalu dipikirin gagal wawancara malu tahun udah capai berani wawancara lakuin tingkatin apply drama luangin neng kirim lamar;-1;-1;0.5692229;FALSE;rejected
231;Aku kecewa banget karena seleb favoritku skandal. Rasanya dikhianati. Gimana caranya biar nggak sedih?;kecewa seleb favorit skandal khianat sedih kecewa idola nyesek pisahin fakta manusia salah bukan arti hidup hancur bangga diri karya bukan drama luangin nikmat musik film happy idola denger playlist;-1;9;0.6665131;TRUE;medium
240;Aku kesal banget karena temenku nggak balik utang, rasanya dunia nggak adil. Gimana caranya biar nggak emosi terus?;kesal temenku balik utang adil emosi terus utang dibalikin emang panas diri sendiri adil hidup emang imbang laku positif diri ingetin perlu validasi temenmu santai utang batas kesel kirim pesan ramah;-1;22;0.7509682;TRUE;high
241;Aku perempuan dan sering cemas soal penampilanku, takut dianggap jelek. Gimana caranya biar lebih pede?;perempuan cemas tampil takut anggap jelek pede tekan tampil lelah bangga diri senyum peduli mikir anggap jelek diri pilih baju nyaman temen suportif ingetin outfit favorit;-1;-1;0.5198147;FALSE;rejected
244;Aku merasa selalu gagal di ujian, rasanya aku bodoh. Gimana caranya biar nggak mikir gitu?;gagal bodoh mikir gagal down gagal hasil kecil ngerjain tugas paham materi bukti bodoh kecil seru mind potensi topik;-1;0;0.66519177;TRUE;medium
249;Aku merasa lelet banget pulih dari kegagalan, kayak nggak tangguh. Gimana caranya biar lebih kuat?;lelet pulih gagal tangguh kuat gagal berat gagal alam sabar kecil rencana sederhana temen gagal semangat sendiri tangguh tumbuh pelan pelan kecil bangkit minggu;-1;0;0.6988033;TRUE;medium
250;Aku takut gagal presentasi, rasanya pasti bakal memalukan. Gimana caranya biar lebih tenang?;takut gagal presentasi malu tenang presentasi degan bukti gagal hasil ngomong depan kecil diskusi kelompok presentasi depan cermin bayangin sukses poin utama cemas siap slide;-1;0;0.65534216;TRUE;medium
252;Aku takut skripsiku nggak lulus, rasanya pasti gagal. Gimana caranya biar nggak overthinking?;takut skripsi lulus gagal overthinking skripsi emang khawatir bukti gagal udah capai skripsi riset kecil paragraf dosen bayangin diri skripsi lega temen skripsi skripsi;-1;0;0.66993535;TRUE;medium
255;Aku merasa nggak pantes dapat promosi, rasanya aku nggak cukup baik. Gimana caranya biar lebih percaya diri?;pantes promosi cukup percaya diri pantes ragu bukti cukup capai kerja proyek puji bukti capable kecil feedback tingkatin skill capai kecil;-1;-1;0.5192721;FALSE;rejected
256;Aku stuck di grup temen yang toxic, tapi takut dikucilkan kalau keluar. Gimana caranya biar berani ninggalin?;stuck grup temen toxic takut kucil keluar berani ninggalin grup toxic lelah bukti kucil harga rangin interaksi pelan pelan obrol temen suportif layak teman sehat tolak grup minggu;-1;10;0.6718074;TRUE;medium
259;Aku ngerasa nggak ada yang bisa diandalkan pas aku stres. Gimana caranya biar nggak merasa sendiri?;ngerasa andal stres sendiri stres dukung berat nyaman keluarga temen lama santai kecil connected kenang favorit grup nilai kirim pesan minggu;-1;10;0.78113914;TRUE;high
261;Aku takut sakit parah, rasanya pasti kena penyakit. Gimana caranya biar nggak cemas terus?;takut sakit parah kena sakit cemas terus takut sakit tenang bukti sakit sehat jalan makan enak kecil makan tidur cukup cemas bayangin tempat tenang temen tambah porsi;-1;7;0.7155502;TRUE;medium
262;Aku ngerasa temenku suka nyinyir, tapi takut nggak punya temen kalau ninggalin. Gimana caranya biar berani pisah?;ngerasa temenku nyinyir takut temen ninggalin berani pisah temen nyinyir lelah bukti temen humor rangin pelan pelan kenal kelas layak temen nyaman tolak nyinyir minggu;-1;0;0.65031534;TRUE;medium
263;Aku takut gagal wawancara kerja, rasanya pasti ditolak. Gimana caranya biar nggak panik?;takut gagal wawancara kerja tolak panik wawancara jantung bukti tolak layak alam kerja wawancara depan cermin bayangin sukses santai panik udah siap wawancara;-1;-1;0.6157699;FALSE;rejected
