index,question,document,old_topic,new_topic,similarity,reassigned,stage
43,"Aku kesepian dan pengen ketemu orang baru, tapi nggak tahu mulai dari mana. Ada ide?",sepi tahu ngurangin sepi giat sukarela acara donasi buku nilai obrol alir alami grup fotografi masak diskusi interaksi kecil bahkan senyum,-1,-1,0.5874791,False,rejected
47,Aku kesal karena atasan bilang presentasiku kurang menarik. Rasanya dihina. Gimana biar nggak baper?,kesal presentasi kurang hina baper komentar nyakitin pisahin fakta presentasi bukan diri mikir hina teknik presentasi udah capai kerja bukti kecil rangin baper slide,-1,-1,0.61327004,False,rejected
50,"Aku cemas tiap buka dompet, takut nggak cukup duit. Gimana caranya biar nggak panik?",cemas dompet takut cukup duit panik dompet tipis emang khawatir panik henti fakta saldo batas atur syukur makan catat keluar sederhana pilih hemat masak tenang catat keluar sore,-1,10,0.7581317,True,high
52,"Aku stres karena putus sama pacar, rasanya dunia runtuh. Gimana caranya biar nggak lebay?",stres putus pacar runtuh lebay putus sakit bayangin diri naik balon udara hidup putus kecil panjang syukur temen kecil jalan jalan hidup drama rencana seru akhir pekan,-1,-1,0.6453153,False,rejected
59,Saya merasa sulit mandiri karena dulu dimanjakan. Bagaimana cara berubah?,sulit mandiri manja ubah mandiri kuat batin alfred adler gaya hidup manja kurang sosial ubah kecil atur jadwal sendiri hasil mandiri bangga kecil bawa ubah tugas sendiri,-1,29,0.7177304,True,medium
61,Saya sering merasa harus lindungi diri dari kritik. Bagaimana cara lebih terbuka?,lindung diri kritik peka alfred adler derita neurosis lindung harga diri takut kritik kritik peluang kritik nyata tumbuh teman dekat kritik hadap,-1,-1,0.6456049,False,rejected
71,Saya ingin hubungan yang lebih sehat. Bagaimana cara membangunnya?,sehat sehat tunjuk hati erich fromm cinta hilang diri empat unsur cinta peduli hormat erti dengar teman pasang penuh perhati tindak cinta laku kuat,-1,-1,0.63808143,False,rejected
73,Saya merasa tidak tahu siapa saya sebenarnya. Bagaimana cara temukan identitas saya?,tahu siapa identitas identitas tualang indah erich fromm sensitivitas identitas tahu unik nilai passion kreativitas eksplorasi bicara teman dekat spesial,-1,15,0.7046578,True,medium
74,Saya ingin pahami kepribadian saya lebih baik. Dari mana saya mulai?,paham pribadi kenal diri seru erich fromm pribadi kualitas unik sifat definisi sabar kreatif refleksi kapan paling autentik eksplorasi jurnal sifat bangga,-1,15,0.7414408,True,medium
75,Saya merasa selalu butuh pujian untuk bahagia. Bagaimana cara lebih mandiri?,butuh puji bahagia mandiri bijak tuju bebas erich fromm tipe reseptif validasi luar mandiri kuat bangga laku aktivitas diri baca buku favorit laku bahagia puji,-1,33,0.6995003,True,medium
77,Saya sulit melepaskan barang atau emosi lama. Bagaimana cara lebih terbuka?,sulit lepas barang emosi lama sulit lepas erich fromm tipe timbun simpan lepas barang kecil donasi baju lama emosi lama jurnal lepas raya lepas,-1,-1,0.612471,False,rejected
79,Saya ingin hubungan cinta yang lebih dalam. Bagaimana cara membangunnya?,cinta cinta indah erich fromm cinta produktif empat kualitas peduli hormat erti tunjuk peduli dengar pasang teman sepenuh hati tindak cinta laku,-1,33,0.65094215,True,medium
80,Saya merasa harus selalu tampil sempurna. Bagaimana cara terima diri apa adanya?,tampil sempurna terima diri tekan sempurna berat layak cinta erich fromm narsisme berat tampil nilai sejati batin sifat fisik bangga raya ketidaksempurnaan unik sifat harga,-1,33,0.74838245,True,medium
82,Kenapa aku merasa sulit membangun hubungan dekat dengan orang lain?,sulit dekat dekat mudah melanie klein pertama pengaruh kecil sederhana teman nyaman,-1,14,0.7261575,True,medium
83,"Aku sering merasa bersalah atas hal-hal kecil, apa yang bisa aku lakukan?",salah kecil laku salah berat melanie klein muncul diri sejak kecil takut ancam salah diri sendiri salah terlalu diri sendiri,-1,4,0.7614485,True,high
84,"Aku merasa bersalah karena kadang nggak akur sama orang tua, apa ini normal?",salah akur naik turun melanie klein sejak kecil sayang sekaligus kesal santai ringan,-1,30,0.7072014,True,medium
85,"Aku merasa sulit merasa ‘utuh’ sebagai diri sendiri, apa yang bisa membantu?",sulit utuh diri sendiri utuh butuh margaret mahler sejak kecil diri sendiri dekat aktivitas nyaman diri sendiri jurnal siapa,-1,15,0.6793864,True,medium
87,"Aku merasa hubunganku dengan temen sering bermasalah, apa yang bisa aku perbaiki?",temen teman penuh tantang melanie klein sehat butuh pola konsisten saling dengar harga temenmu jujur saling paham,-1,-1,0.638825,False,rejected
90,"Aku suka bercanda, tapi takut orang lain tersinggung. Gimana caranya bercanda yang sehat?",canda takut singgung canda sehat canda seru emang hati hati humor sakit canda ringan alam lucu situasi hindar topik sensitif senang,-1,18,0.74631315,True,medium
91,"Aku pengen hubungan yang lebih bermakna, tapi nggak tahu caranya. Ada tips?",makna tahu tips makna impi cinta sehat datang saling harga tumbuh komunikasi jujur pasang laku kecil tunjuk perhati harap,-1,33,0.6636696,True,medium
94,Saya sering merasa kaku saat berinteraksi. Bagaimana cara jadi lebih ramah?,kaku interaksi ramah ramah tunjuk hati robert mccrae paul costa agreeableness sifat ramah kooperatif senyum kabar tulus kabar nyaman interaksi tindak kecil ramah,-1,33,0.66895413,True,medium
97,Saya sering menunda-nunda tugas. Bagaimana cara lebih disiplin?,tunda nunda tugas disiplin tunda manusiawi disiplin robert mccrae paul costa conscientiousness teknik tugas seringkali lanjut tuju kecil tugas,-1,-1,0.58629775,False,rejected
98,Saya ingin lebih paham diri saya sendiri. Bagaimana teori Big Five bisa membantu?,paham diri sendiri teori five kenal diri sendiri tualang seru jalur tepat robert mccrae paul costa teori five paham pribadi lewat lima sifat refleksi paling cermin ekstrovert ramah atur stabil sifat tonjol kuis five sifat penasaran,-1,-1,0.53855395,False,rejected
99,Saya ingin tahu bagaimana saya bereaksi di situasi baru. Bagaimana Big Five membantu?,tahu reaksi situasi five penasaran diri situasi keren robert mccrae paul costa five prediksi perilaku sifat introvert situasi tenang bayang situasi presentasi reaksi refleksi sifat five dominan situasi prediksi,-1,-1,0.5720291,False,rejected
101,Saya merasa pikiran dan lingkungan bikin saya cemas. Bagaimana cara kelola ini?,cemas kelola cemas berat kuat kelola albert bandura determinis resiprokal arti perilaku saling pengaruh ubah aspek cemas sudut tenang cemas afirmasi positif kecil kurang cemas,-1,-1,0.6257148,False,rejected
102,Saya ingin lebih kontrol diri sendiri. Bagaimana cara melatihnya?,kontrol diri sendiri kontrol diri keren tuju tumbuh albert bandura atur diri kelola sosial hindar distraksi mati notifikasi ponsel kerja ruang tuju kecil distraksi kurang,-1,-1,0.6193938,False,rejected
103,Saya takut presentasi karena lihat orang lain gagal. Bagaimana cara atasi ketakutan ini?,takut presentasi gagal takut takut presentasi hadap albert bandura modeling kondisioning takut gagal sukses presentasi tiru teknik presentasi kecil percaya diri presentasi,-1,-1,0.5974027,False,rejected
104,"Apa itu tak sadar kolektif, dan kenapa saya merasa terhubung dengan hal-hal aneh?",kolektif aneh aneh kolektif waris leluhur pola universal pengaruh kagum laut mitos kolektif perhati aneh,-1,-1,0.49765402,False,rejected
105,"Saya dengar tentang arsetip Jung. Apa itu, dan apa pengaruhnya pada saya?",dengar arsetip pengaruh arsetip pola kuno penasaran keren arsetip pesona shadow pengaruh tindak pesona wajah publik shadow sisi sembunyi kapan topeng depan kenal arsetip paham diri momen sisi diri,-1,-1,0.544477,False,rejected
109,Saya penasaran dengan terapi Jung. Apa yang akan saya alami?,penasaran terapi alami keren terapi terapi empat tahap konfesi eludikasi paham emosi edukasi transformasi versi bayang ruang tumbuh siap jurnal terapi,-1,1,0.66987133,True,medium
110,Proyek timku sering mandek. Bagaimana menerapkan aktualitas?,proyek mandek terap aktualitas undang anggota brainstorming bebas peran pilih terap minggu dekat kolaborasi hidup,-1,-1,0.50719064,False,rejected
111,Standarku tinggi hingga merasa selalu kurang. Bagaimana menyehatkan ego ideal?,standar tinggi hingga kurang sehat ideal tahan tetap target tahap raya progres kecil idealisme realitas hilang motivasi,-1,29,0.7088234,True,medium
112,Aku hidup di lingkungan yang menilai kesuksesan materi. Bagaimana tetap setia pada nilai keseimbangan?,hidup nilai sukses materi tetap setia nilai imbang definisi sukses versi sehat mental kualitas relasi harga nilai rupa dukung sosial jalan,-1,-1,0.6396055,False,rejected
114,Aku pengasuh pengganti. Bisakah bayi tetap merasa aman?,asuh tetap tatap mata lembut tenang sentuh konsisten intim hangat bukan biologis,-1,-1,0.44444352,False,rejected
116,"Aku perfeksionis soal kebersihan, cemas bila ada debu. Apa langkah awal meredakan kompulsi?",perfeksionis cemas bila debu awal reda kompulsi terap zona toleransi sisih sudut ketidaksempurnaan tahap turun cemas,-1,-1,0.54446554,False,rejected
117,"Apa tanda kontrol diri masih sehat, tidak kaku?",kontrol diri sehat kaku sesuai atur situasi ubah cemas fleksibilitas otonomi sehat,-1,-1,0.5757538,False,rejected
119,Aku iri teman cepat paham coding. Bagaimana mengubah iri jadi dorongan positif?,teman cepat paham coding ubah dorong positif peta terampil asai susun rencana minta mentoring aksi bukan banding,-1,-1,0.51221025,False,rejected
121,Bagaimana menjaga self‑care dalam hubungan asmara?,jaga self care asmara jadwal time rutin komunikasi butuh jujur suatu sehat dukung belah pihak kembang,-1,-1,0.5298169,False,rejected
122,Pasangan menjauhiku dari teman. Apakah tanda elitisme berbahaya?,pasang jauh teman elitisme bahaya isolasi sosial flag kontrol bicara khawatir pola lanjut timbang profesional,-1,-1,0.5992975,False,rejected
123,"Apa itu tak sadar kolektif, dan apa hubungannya dengan perasaan saya?",kolektif kolektif simpan waris leluhur insting pola universal sulit jelas takut inspirasi kait alam mitologi kolektif perhati tunjuk,-1,-1,0.47489008,False,rejected
127,Saya tertarik dengan terapi Jung. Apa yang akan saya alami?,terapi alami keren penasaran terapi journey terapi empat tahap konfesi eludikasi paham emosi edukasi transformasi versi bayang ruang dengar tumbuh siap terapi jurnal terapi,-1,1,0.6681217,True,medium
128,Saya merasa harus selalu bersaing agar aman. Bagaimana cara lebih damai?,saing damai lelah saing terus karen horney tipe agresif tempat kompetisi cemas damai kerja teman kolaborasi proyek kecil momen saing teknik relaksasi meditasi situasi kompetisi,-1,19,0.66559166,True,medium
129,Saya susah membedakan siapa saya sebenarnya. Bagaimana cara mengenal diri aktual saya?,susah siapa kenal diri aktual diri tualang luar karen horney diri aktual nyata objektif bebas persepsi refleksi fakta sifat impi nyata diri musik kerja fakta diri bangga,-1,0,0.7332747,True,medium
132,Saya merasa hubungan dengan orang tua memengaruhi cara saya mencintai. Apakah ini normal?,pengaruh cinta pengaruh peka karen horney odipus kompleks butuh cinta bukan biologis refleksi pola masa kecil muncul bicara teman dekat pola paham,-1,-1,0.5122335,False,rejected
134,Aku takut presentasi besok bakal berantakan. Apa yang bisa aku lakuin biar lebih tenang?,takut presentasi beranta lakuin tenang presentasi grogi bayangin skenario lupa kata kata slide error terus akhir siapin cadang catat kecil slide pede riset depan temen grogi kuat takut slide,-1,-1,0.52738285,False,rejected
137,"Aku nyesel banget pernah drop out dari kuliah, susah melupain. Gimana caranya biar nggak terjebak?",drop kuliah susah melupain jebak putus lama stuck ubah masa bangga kerja lakuin kursus peluang masa ngajarin nentuin masa depan kursus gratis minggu,-1,-1,0.6196704,False,rejected
146,Aku sakit hati gara-gara dikira miskin gara-gara bajuku sederhana. Gimana caranya biar nggak baper?,sakit hati gara gara miskin gara gara baju sederhana baper miskin enak miskin baju bangga kerja abai omong balas senyum temen harga kata kata baju favorit pede,-1,-1,0.614753,False,rejected
148,Aku marah sama temen yang gossipin aku. Gimana caranya biar nggak emosi?,marah temen gossipin emosi gossip sakit hati sengaja sakit santai denger gossip syukur temen suportif kecil jaga jarak perlu temen,-1,18,0.8308979,True,high
155,Aku sakit hati gara-gara dikira nggak kompeten di kantor. Gimana caranya biar nggak baper?,sakit hati gara gara kompeten kantor baper kompeten enak kompeten kata bangga proyek abai omong balas senyum kolega harga kata kata tugas pede,-1,-1,0.55351686,False,rejected
158,"Tiap mau presentasi, aku selalu deg-degan sampe bolak-balik ke kamar mandi. Gimana caranya biar lebih tenang?",presentasi degan sampe bolak balik kamar mandi tenang degan presentasi siapin presentasi jauh jauh depan cermin temen pede lakuin teknik detik tahan detik keluar detik tenangin saraf bayangin presentasi sukses boost percaya diri nervous diri sendiri lakuin percaya,-1,7,0.68041635,True,medium
159,Aku baru balik dari luar negeri dan susah banget adaptasi di sini. Aku sering baper dan cemas. Apa yang bisa aku lakuin?,balik luar negeri susah adaptasi baper cemas lakuin adaptasi tempat emang gampang kultur udah jalanin masak makan favorit temen lama cemas luangin nulis baper atur lokal klub buku olahraga connect berat profesional salah lewatin,-1,-1,0.5825782,False,rejected
160,"Aku sering ngerasa hidupku penuh kebetulan buruk, kayak apes mulu. Gimana caranya biar nggak merasa gitu?",ngerasa hidup penuh betul apes mulu tahu apes tubi tubi adil hidup situ syukur temen curhat lakuin rencana kecil kendali kuat positif,-1,-1,0.54348373,False,rejected
163,"Aku takut ngomong di depan umum, padahal besok harus presentasi. Gimana caranya biar lebih berani?",takut ngomong depan umum padahal presentasi berani ngomong depan umum emang grogi tahu siapin presentasi depan cermin pastiin poin utama jelas pede lantang siap ingat reaksi audiens sepenuh tangan usaha udah sekali,-1,-1,0.6485116,False,rejected
166,Aku gagal lomba desain padahal udah usaha maksimal. Aku kecewa banget. Gimana caranya move on?,gagal lomba desain padahal udah usaha maksimal kecewa move gagal usaha nyesek udah lomba teknik manajemen desain lomba ingat menang nentuin nilai diri santai nonton film lucu proyek kecil bangkit,-1,-1,0.6377436,False,rejected
168,"Pitch ideku ditolak tim, aku ngerasa nggak cukup baik. Gimana caranya biar nggak kecewa?",pitch tolak ngerasa cukup kecewa tolak down udah nyoba kreativitas riset revisi feedback ingat tolak nentuin mampu istirahat denger upbeat pitch,-1,-1,0.646847,False,rejected
170,"Aku gagal audisi band, padahal udah latihan keras. Aku sedih banget. Gimana caranya move on?",gagal audisi padahal udah sedih move tahu gagal audisi nyesek udah giat proses teknik berani audisi ingat audisi nentuin bakat santai denger musik favorit kecil bangkit,-1,-1,0.5603679,False,rejected
172,Saya merasa hidup saya penuh cobaan. Bagaimana saya bisa melihat sisi positifnya?,hidup penuh sisi positif hidup lomba lari rintang seneca filsuf stoa terus datang justru berkah kuat tantang mental diri sendiri kualitas kembang situasi sabar tabah bayang diri pohon makin kokoh terpa angin hadap tangguh,-1,11,0.7398422,True,medium
174,Saya merasa marah dengan hidup yang tidak adil. Bagaimana saya bisa menerima ini semua?,marah hidup adil terima paham marah teriak langit hidup begini marcus aurelius saran bijak peristiwa hidup bahkan adil alur alam bayang hidup sungai deras tenang alir suatu tuju terima kecil damai jurnal teman dekat adil urai bareng hati ringan,-1,-1,0.63660705,False,rejected
175,Saya merasa lelah menghadapi masalah yang tidak kunjung selesai. Apa yang bisa saya lakukan untuk tetap kuat?,lelah hadap kunjung laku tetap kuat tahu lari maraton garis finish capek stoisisme analogi keren bayang diri tebing karang kokoh hantam ombak kunci tahan perlu buru buru menang tetap teguh ritual kecil stres catat kecil syukur stamina mental jaga lelah tetap diri tegak tebing,-1,29,0.6955326,True,medium
176,Saya merasa hidup saya monoton meski punya banyak hal baik. Bagaimana cara saya menghargai apa yang saya miliki?,hidup monoton harga milik tahu hidup flat nama hedonic adaptation nikmat spesial trik stoisisme laku practice poverty sekal makan makan sederhana naik transportasi umum ngeh betapa harga syukur kecil kopi enak tadi pagi hidup monoton,-1,11,0.7060398,True,medium
177,Saya baru saja gagal dalam proyek besar. Saya merasa stuck. Apa yang bisa saya lakukan?,gagal proyek stuck laku gagal proyek jatuh tangga tinggi dengar halang jalan ubah pandang gagal dekat bayang gagal plot twist film bawa arah keren detail proyek stuck gali bareng jalan temuin,-1,-1,0.5097917,False,rejected
178,Saya merasa overwhelmed dengan masalah yang nggak bisa saya kendalikan. Bagaimana cara mengatasinya?,overwhelmed kendali overwhelmed jebak tengah badai trik jitu tangan tindak kolom kertas kendali sikap respons pilih tindak kecil kolom meditasi jalan jalan overwhelmed pilah bareng kendali,-1,-1,0.6407399,False,rejected
179,Saya merasa kalah sama masalah hidup saya. Bagaimana cara saya tetap bertahan?,kalah hidup tetap tahan tahu tarung lawan raksasa kalah capek stoisisme menang ngalahin tahan pohon tetap diri tengah badai jimat tahan kecil baca kutip favorit dengar semangat pagi ingat diri sendiri perlu tahan kalah tetap kokoh,-1,30,0.6685717,True,medium
180,Saya merasa karir saya mentok dan nggak tahu harus apa. Bagaimana cara saya melihat ini sebagai peluang?,karir mentok tahu peluang karir mentok nyangkut simpang peluang ubah pandang skill situasi jalur kursus networking bayang plot twist hidup jalan keren karirmu mentok gali peluang bareng,-1,-1,0.56137365,False,rejected
183,Saya sering berprasangka buruk terhadap orang dari latar belakang tertentu. Bagaimana cara mengubah pandangan ini?,prasangka hadap latar belakang ubah pandang prasangka bayang muncul sengaja hati alam latar belakang giat agam anggap sahabat saran stoisisme luntur prasangka prasangka ubah sudut pandang,-1,-1,0.56604445,False,rejected
184,Saya merasa nggak bisa apa-apa soal masalah besar seperti polusi. Apa yang bisa saya lakukan biar nggak hopeless?,polusi laku hopeless paham polusi kecil daya kendali polusi sendiri kecil bareng ubah sederhana botol reusable daur ulang aksi kecil bareng padu hopeless kecil,-1,-1,0.58490586,False,rejected
187,Saya merasa nggak punya waktu buat bantu orang lain karena sibuk. Bagaimana cara tetap berbuat baik?,sibuk tetap tahu hidup sibuk lari treadmill habis stoisisme sisih kirim pesan semangat temen donasi kecil amal bayang tabur bintang hidup sibuk selipin,-1,-1,0.5743175,False,rejected
188,Saya sering merasa orang dari budaya lain nggak cocok sama saya. Bagaimana cara lebih menerima mereka?,cocok terima paham jarak stoisisme adil dekat diri seru makan temen tradisi favorit saudara cocok nyaman,-1,-1,0.5724876,False,rejected
189,"Saya pengin bantu atasi perubahan iklim, tapi merasa cuma setetes air di lautan. Bagaimana cara tetap termotivasi?",pengin ubah iklim tetes laut tetap motivasi semangat bumi percik nyalain ubah stoisisme bareng bareng tetes laut gabung nanam pohon matiin lampu kepake kurang plastik raya kecil hemat energi kecil semangat bara,-1,-1,0.45331103,False,rejected
190,"Saya lihat tetangga didiskriminasi karena beda suku, tapi takut ikut campur. Bagaimana cara bantu tanpa konflik?",tetangga diskriminasi suku takut campur konflik tahu tetangga diskriminasi hati tenang takut konflik ragu puisi niemoller diam risiko halus tetangga tunjukin peduli lapor diskriminasi sebut nama kecil tanam benih damai tetangga diskriminasi,-1,-1,0.6207552,False,rejected
192,"Aku ngerasa wajahku nggak cukup ekspresif, kayak orang susah tahu aku sedih. Gimana caranya biar wajahku lebih ‘bicara’?",ngerasa wajah cukup ekspresif susah tahu sedih wajah bicara wajah kurang ekspresif datar susah ngerasa emosi ekspresi wajah emang universal cermin muka sedih alis turun mata merem mulut cemberut pelan tambahin gera kecil angguk pelan tuju sedih ekspresi lembut notice rekam diri situasi wajah datar trik wajah emosi,-1,0,0.65420496,True,medium
193,"Aku sering ngerasa nggak nyaman kalau kontak mata sama orang pas ngobrol, bikin grogi. Gimana caranya biar aku lebih pede?",ngerasa nyaman kontak mata grogi pede kontak mata grogi panggung tatap tonton pandang mata emang kuat kontak mata singkat detik pandang hidung dahi kaku temen dekat kontak mata mata ngikut natural grogi pelan momen grogi mata pede,-1,-1,0.5150948,False,rejected
194,"Aku notice gerakan tanganku pas ngomong kadang bikin orang bingung, kayak terlalu heboh. Gimana caranya biar gerakanku pas?",notice gera tangan ngomong terlalu heboh gera gera tangan heboh nari koreografi gestur emang penting depan cermin gera simpel telapak tangan tuju jari nunjuk pelan jelasin rekam diri gesturmu sesuai pesan gesturku tadi jelas kurang gera natural momen gesturmu trik gera selaras,-1,-1,0.54981035,False,rejected
195,"Aku sering ngerasa orang salah tangkap sikapku pas diam, kayak dikira sombong. Gimana caranya biar aku kelihatan ramah meski nggak ngomong?",ngerasa salah tangkap sikap diam sombong ramah ngomong diam sombong panggung kosong tonton mikir drama verbal emang sinambung sikap ramah jaga ekspresi wajah lembut senyum tipis alis rileks postur tubuh penting hadap badan jangan silang tangan grup angguk pelan dengerin engaged salah tangkap diam bukan sombong momen diam salah paham vibe ramah,-1,18,0.740402,True,medium
196,"Aku sering telat ke meeting tim, bikin orang kesel. Gimana caranya biar aku lebih tepat waktu dan nggak bikin suasana tegang?",telat meeting kesel tepat suasana tegang telat meeting dateng konser udah sebel kronemik pesan verbal tepat alarm meeting siapin barang awal lupa reminder ceria dateng tepat senyum neng dateng time telat maaf telat improve telat respect,-1,-1,0.6164553,False,rejected
197,"Aku ngerasa orang nggak nyaman ngobrol sama aku, kayak aku terlalu kaku. Gimana caranya biar sikap tubuhku lebih welcoming?",ngerasa nyaman terlalu kaku sikap tubuh welcoming sikap kaku balada badan kaya patung betah postur tubuh emang ramah jauh condong badan arah lawan bicara nunjukin dengerin jangan silang tangan tambahin angguk pelan senyum tipis cermin natural nyaman kaku santai momen kaku badan ramah,-1,-1,0.6347625,False,rejected
198,"Aku pengen kelihatan lebih approachable di acara kantor, tapi nggak tahu caranya pakai non verbal. Apa yang bisa aku coba?",approachable acara kantor tahu verbal approachable acara kantor panggung ramai tonton verbal cerah biru lembut hangat jaga gera tubuh telapak tangan hadap bukan tangan saku senyum tipis angguk pelan dengerin tunjukin grogi pelan bayangin temen acara kantor ramah,-1,-1,0.5656744,False,rejected
199,"Aku sering ngerasa pipiku memerah pas grogi, bikin aku tambah malu. Gimana caranya biar nggak kelihatan nervous?",ngerasa pipi merah grogi tambah malu nervous pipi merah grogi lampu panggung nyala malu verbal emang susah kontrol otomatis nervous pelan pelan hitung jantung reda jaga postur rileks bahu turun senyum kecil vibe positif pipi udah merah santai haha grogi seru momen grogi trik tenang,-1,18,0.7112735,True,medium
200,"Aku ngerasa gerakan tanganku pas presentasi bikin orang nggak fokus, kayak ganggu. Gimana caranya biar kinesikku bantu pesan?",ngerasa gera tangan presentasi ganggu kesik pesan gera tangan ganggu nari panggung koreonya kesik arah gera simpel presentasi tangan jelasin poin penting nunjuk pelan slide depan cermin pastiin gera ngikut ritme omong jaga kontak mata pesan takut ganggu temen gesturku tadi presentasi gera selaras,-1,-1,0.5764858,False,rejected
201,"Aku sering dikira nggak antusias pas ngomong, padahal excited. Gimana caranya biar nada suaraku nunjukin semangat?",antusias ngomong padahal excited nunjukin semangat antusias upbeat flat paralanguage volume semangat sinar naikin excited guys seru volume hidup jangan teriak ngomong depan cermin tambahin gestur tangan vibe naik ngerasa antusias momen kurang semangat trik penuh energi,-1,18,0.6564442,True,medium
202,"Aku pengen nunjukin empati pas temen curhat, tapi ngerasa ekspresiku kurang ngena. Gimana caranya biar aku kelihatan peduli?",nunjukin empati temen curhat ngerasa ekspresi kurang ngena peduli nunjukin empati ekspresi kurang ngena sedih tonton merinding verbal power emosional kuat condong badan temenmu kontak mata lembut angguk pelan dengerin ekspresi wajah hangat mata merem senyum tipis berat sentuh tangan nyaman tulus momen curhat temenmu empati hati,-1,0,0.6956789,True,medium
203,"Aku sering salah gestur pas ngobrol sama klien dari budaya lain, bikin canggung. Gimana caranya biar gesturku nggak bikin salah paham?",salah gestur klien canggung gesturku salah paham gestur salah asing koreonya canggung gestur emang makna riset klien googling gestur kolega tahu gestur universal angguk pelan tuju hindar risiko jempol gestur klien ikutin pelan pelan canggung gesturku tadi momen canggung trik gesturmu selaras,-1,-1,0.57295775,False,rejected
204,"Aku ngerasa temenku salah tangkap sikapku pas aku diam di grup, kayak dikira cuek. Gimana caranya biar diamku nggak disalahartikan?",ngerasa temenku salah tangkap sikap diam grup cuek diam disalahartikan diam cuek panggung kosong tonton mikir moody verbal tata bahasa gampang salah tafsir diam ramah jaga ekspresi wajah lembut senyum tipis angguk pelan dengerin postur tangan rileks khawatir disalahartikan kecil ketik dengerin grup mikir cuek diam cuek momen diam vibe hangat,-1,18,0.79986876,True,high
205,"Aku ngerasa timku nggak nyaman pas aku presentasi, kayak aku terlalu kaku. Gimana caranya biar posturku bikin mereka betah?",ngerasa nyaman presentasi terlalu kaku postur betah presentasi postur kaku seru diri kaya patung connect postur betah rileksin bahu condong badan arah tangan jelasin poin ngajak pindah posisi pelan jalan dinamis cermin natural betah presentasi guys presentasi postur inviting,-1,-1,0.57509863,False,rejected
